,Text,Text_tok,Gold_iob
16157,Camouflage by the dead leaf mantis makes it less visible to both its predators and prey.,"['Camouflage', 'by', 'the', 'dead', 'leaf', 'mantis', 'makes', 'it', 'less', 'visible', 'to', 'both', 'its', 'predators', 'and', 'prey', '.']","['B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
23715,Most evaporation is from the oceans because they cover so much area.,"['Most', 'evaporation', 'is', 'from', 'the', 'oceans', 'because', 'they', 'cover', 'so', 'much', 'area', '.']","['O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8911,There may be as many as 1.5 million species of fungi.,"['There', 'may', 'be', 'as', 'many', 'as', '1.5', 'million', 'species', 'of', 'fungi', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O']"
19251,"As for outdoor air pollution, if you hear in the news that the outdoor air quality is particularly bad, then it might make sense to wear a mask outdoors or to stay indoors.","['As', 'for', 'outdoor', 'air', 'pollution', ',', 'if', 'you', 'hear', 'in', 'the', 'news', 'that', 'the', 'outdoor', 'air', 'quality', 'is', 'particularly', 'bad', ',', 'then', 'it', 'might', 'make', 'sense', 'to', 'wear', 'a', 'mask', 'outdoors', 'or', 'to', 'stay', 'indoors', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O']"
9166,"They generally feed on bacteria, fungi, protozoa, or decaying organic matter.","['They', 'generally', 'feed', 'on', 'bacteria', ',', 'fungi', ',', 'protozoa', ',', 'or', 'decaying', 'organic', 'matter', '.']","['O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
13945,Metalloids tend to be shiny like metals but brittle like nonmetals.,"['Metalloids', 'tend', 'to', 'be', 'shiny', 'like', 'metals', 'but', 'brittle', 'like', 'nonmetals', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O']"
1913,"Wind power, which uses windmills to transform wind energy into electricity.","['Wind', 'power', ',', 'which', 'uses', 'windmills', 'to', 'transform', 'wind', 'energy', 'into', 'electricity', '.']","['B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8152,Electromagnetic waves may also be absorbed by matter and converted to other forms of energy.,"['Electromagnetic', 'waves', 'may', 'also', 'be', 'absorbed', 'by', 'matter', 'and', 'converted', 'to', 'other', 'forms', 'of', 'energy', '.']","['O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1717,This is reflected in their relatively high level of intelligence and their ability to learn new behaviors.,"['This', 'is', 'reflected', 'in', 'their', 'relatively', 'high', 'level', 'of', 'intelligence', 'and', 'their', 'ability', 'to', 'learn', 'new', 'behaviors', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
19562,The cerebrum is divided into a right and left half.,"['The', 'cerebrum', 'is', 'divided', 'into', 'a', 'right', 'and', 'left', 'half', '.']","['B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
25453,This is because the apparent nightly motion of the stars is actually caused by the rotation of Earth on its axis.,"['This', 'is', 'because', 'the', 'apparent', 'nightly', 'motion', 'of', 'the', 'stars', 'is', 'actually', 'caused', 'by', 'the', 'rotation', 'of', 'Earth', 'on', 'its', 'axis', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'O']"
17623,0.53 Earths diameter 11.21 Earths diameter 9.41 Earths diameter 3.98 Earths diameter 3.81 Earths diameter  Distances in the solar system are often measured in astronomical units (AU).,"['0.53', 'Earths', 'diameter', '11.21', 'Earths', 'diameter', '9.41', 'Earths', 'diameter', '3.98', 'Earths', 'diameter', '3.81', 'Earths', 'diameter', 'Distances', 'in', 'the', 'solar', 'system', 'are', 'often', 'measured', 'in', 'astronomical', 'units', '(', 'AU', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O']"
21094,"Cardiac muscle is also an involuntary muscle, found only in the heart.","['Cardiac', 'muscle', 'is', 'also', 'an', 'involuntary', 'muscle', ',', 'found', 'only', 'in', 'the', 'heart', '.']","['B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
3428,Forming above the hotspot are massive shield volcanoes that together create the islands.,"['Forming', 'above', 'the', 'hotspot', 'are', 'massive', 'shield', 'volcanoes', 'that', 'together', 'create', 'the', 'islands', '.']","['O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O']"
6725,The 1993 Storm of the Century was a noreaster that covered the entire eastern seaboard of the United States.,"['The', '1993', 'Storm', 'of', 'the', 'Century', 'was', 'a', 'noreaster', 'that', 'covered', 'the', 'entire', 'eastern', 'seaboard', 'of', 'the', 'United', 'States', '.']","['O', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
